"bin","ID","time_start_sec","time_end_sec","Distance_m","Mean_speed_m_s","Max_speed_m_s","Time_immobile_s","Immobile_episodes","Absolute_turn_angle_deg","Meander_deg_per_m","Bottom_entries","Bottom_time_s","Middle_entries","Middle_time_s","Top_entries","Top_time_s","Mean_dist_from_bottom_m","Acceleration_episodes_500ms","Acceleration_time_s","Tortuosity_episodes_1s","Tortuosity_time_s","Zone_count","IM_time_s","IM_episodes","NB_time_s","NB_episodes","HS_time_s","HS_episodes","TR_time_s","TR_episodes"
1,20,0,300,16.4120148060594,0.054706716020198,0.0988301870446892,0,0,20364.9729297107,1240.85757723006,17,172.3,36,58.8,19,65.9,0.0342727157316407,28,17.3,12,8.2,3,0,0,276.7,32,19.7333333333333,22,3.56666666666667,5
1,21,0,300,18.3134309827386,0.061044769942462,0.162962154220186,0,0,27581.957629522,1506.10541823209,14,182.633333333333,37,37.2333333333333,23,77.1333333333333,0.0307648134769067,66,55.9,16,11.5,3,0,0,226.5,65,56.8333333333333,45,16.6666666666667,19
1,22,0,300,11.5079831329801,0.0383599437766003,0.179539708873642,34.6666666666667,4,16068.6092263365,1396.30107557999,2,296.166666666667,2,0.833333333333333,0,0,0.00616585254492636,41,27.3666666666667,11,7.4,3,37.6333333333333,9,243.966666666667,37,17.3666666666667,20,1.03333333333333,2
1,23,0,300,13.2882538431012,0.0442941794770039,0.113136046307281,0,0,16910.7346868249,1272.60773962445,28,129,66,63.0666666666667,38,104.933333333333,0.0444834455660228,19,11.4666666666667,14,9.06666666666667,3,0,0,212.366666666667,74,55.0333333333333,53,32.6,42
1,24,0,300,10.6019572906279,0.0353398576354263,0.223190620972978,120.966666666667,1,22338.1390842315,2106.98255726595,0,297,0,0,0,0,0.00415666242824162,46,31.0333333333333,25,15.1666666666667,3,124.2,2,121.066666666667,40,54.4,39,0.333333333333333,1
1,25,0,300,4.51227087108367,0.0150409029036122,0.0828947483126745,92.8333333333333,13,5063.38267915429,1122.13624221949,5,184.9,9,20.4,4,91.0666666666667,0.0359122282756911,3,1.6,2,1.56666666666667,3,112.933333333333,24,175.733333333333,39,4.83333333333333,7,6.5,8
1,26,0,300,2.22757093145361,0.00742523643817869,0.0932766047700183,145.666666666667,18,1514.04086946813,679.682450551705,1,195.4,5,29.5666666666667,4,71.8333333333333,0.0296841129630462,1,0.533333333333333,2,1.06666666666667,3,189.466666666667,12,105.966666666667,22,1.3,3,3.26666666666667,6
1,27,0,300,13.4711296687953,0.0449037655626511,0.0886480762437336,23.6666666666667,1,14556.6990633965,1080.58488198772,21,145.2,53,58.6333333333333,32,93.1666666666667,0.039314800789982,11,8.33333333333333,16,9.06666666666667,3,25.6,1,217.933333333333,65,10.3333333333333,15,46.1333333333333,52
1,28,0,300,5.35031086015994,0.0178343695338665,0.0802936442190243,0,0,4915.45872119311,918.723948882136,22,90.4333333333333,39,74.0333333333333,17,132.533333333333,0.0555073860529212,1,0.5,1,0.5,3,3.83333333333333,4,286.466666666667,21,0.666666666666667,1,9.03333333333333,14
1,29,0,300,1.98592969598222,0.00661976565327407,0.0538218870526506,50.9,0,2790.70502173209,1405.23857787012,2,280.666666666667,3,10,1,6.33333333333333,0.00912163199831549,0,0,0,0,3,42.4666666666667,15,254.8,22,1.6,3,1.13333333333333,1
1,30,0,300,18.7691681479384,0.0625638938264614,0.13111116725306,0,0,34657.6348496179,1846.51949284309,26,172.533333333333,55,68.4333333333333,28,56.0333333333333,0.0359707807153432,46,28.9666666666667,38,26.2,3,0,0,233.4,67,60.2666666666667,58,6.33333333333333,7
1,31,0,300,0.802976679390475,0.00267658893130158,0.128702003808536,250.466666666667,5,2271.16612811894,2828.4334855689,0,297,0,0,0,0,0.0024780557805239,0,0,0,0,3,257.433333333333,9,40,12,2.56666666666667,4,0,0
1,32,0,300,15.9340176675044,0.0531133922250148,0.138683769145032,0,0,32496.1999298732,2039.42286295724,29,158.6,71,52.6333333333333,42,85.7666666666667,0.0395571167911921,38,27.9666666666667,38,28.3333333333333,3,0,0,194.6,72,91.7,58,13.7,20
1,33,0,300,11.8110417332983,0.0393701391109943,0.173397152268543,0,0,20629.816496579,1746.65511835577,19,249.8,24,42.8666666666667,4,4.33333333333333,0.0165773710867644,12,7.53333333333333,16,11.4666666666667,3,0,0,260.8,41,34.9666666666667,34,4.23333333333333,6
1,34,0,300,9.99880317164849,0.033329343905495,0.103111794749487,0,0,16251.1382160957,1625.30834312007,27,206.2,45,53.7666666666667,18,37.0333333333333,0.0271717354344214,1,0.6,9,6.5,3,0,0,258.2,37,34.1,29,7.7,10
1,35,0,300,12.8478358874556,0.0428261196248518,0.095832104648814,0,0,21436.3526951583,1668.47964769603,9,243.6,19,27.6666666666667,9,25.7333333333333,0.0205771419850591,5,2.8,12,7.03333333333333,3,0,0,273.033333333333,38,24.2666666666667,28,2.7,5
