"bin","ID","time_start_sec","time_end_sec","Distance_m","Mean_speed_m_s","Max_speed_m_s","Time_immobile_s","Immobile_episodes","Absolute_turn_angle_deg","Meander_deg_per_m","Bottom_entries","Bottom_time_s","Middle_entries","Middle_time_s","Top_entries","Top_time_s","Mean_dist_from_bottom_m","Acceleration_episodes_500ms","Acceleration_time_s","Tortuosity_episodes_1s","Tortuosity_time_s","Zone_count","IM_time_s","IM_episodes","NB_time_s","NB_episodes","HS_time_s","HS_episodes","TR_time_s","TR_episodes"
1,23,0,30,0.707286773702217,0.0235762257900739,0.0514662192750188,0,0,229.394394324571,324.330106052783,0,29.7666666666667,0,0,0,0,0.0037543346311335,0,0,0,0,3,0,0,28.5333333333333,3,1.46666666666667,2,0,0
2,23,30,60,1.12427527538725,0.0374758425129085,0.0804815014323232,0,0,953.555620280803,848.151374628739,1,19.7,3,4.46666666666667,1,5.66666666666667,0.0299493590551391,0,0,0,0,3,0,0,26.4,5,2.6,3,1,2
3,23,60,90,1.16842709043601,0.0389475696812004,0.0838041799622797,0,0,1070.94936412127,916.57354822339,4,15.0666666666667,6,7.53333333333333,3,6.66666666666667,0.0357568302951899,0,0,0,0,3,0,0,22.8333333333333,4,4.76666666666667,4,2.4,3
4,23,90,120,1.41294700167444,0.0470982333891479,0.0854123084131272,0,0,2239.02686042273,1584.65027900504,4,15.9666666666667,9,8.43333333333333,5,5.6,0.0367711630547315,0,0,1,1.66666666666667,3,0,0,18.8666666666667,9,9.13333333333333,8,2,4
5,23,120,150,1.42647701304227,0.0475492337680755,0.104030980133647,0,0,2099.76713113317,1471.99507032712,3,7.76666666666667,10,10.2666666666667,7,11.9666666666667,0.0527065396459798,3,1.86666666666667,1,0.8,3,0,0,16.6,9,8.4,11,5,7
6,23,150,180,1.71883281451526,0.0572944271505087,0.0907811790651175,0,0,2064.03186050148,1200.83340454701,5,8.86666666666667,8,5.7,3,15.4333333333333,0.0587171855001681,8,4.83333333333333,1,0.5,3,0,0,23.2333333333333,8,3.73333333333333,5,3.03333333333333,4
7,23,180,210,1.45323335815572,0.0484411119385239,0.0937811539745073,0,0,2022.9251658023,1392.01674283721,4,10.5,10,6.23333333333333,5,11.5333333333333,0.0474154127032058,1,0.533333333333333,2,1.06666666666667,3,0,0,19.1,11,5.36666666666667,5,5.53333333333333,6
8,23,210,240,1.66685905277468,0.0555619684258226,0.113136046307281,0,0,2457.92617369308,1474.5854903578,3,7.73333333333333,7,5.26666666666667,5,16.8666666666667,0.0607968008232913,3,1.56666666666667,5,2.66666666666667,3,0,0,19.5,11,6.4,7,4.1,5
9,23,240,270,1.47484015141506,0.0491613383805021,0.0851146871250598,0,0,1454.03913965831,985.896090680202,3,11.1,7,7.4,3,11.5,0.0496835927463872,4,2.66666666666667,0,0,3,0,0,22.3333333333333,8,1.33333333333333,2,6.33333333333333,7
10,23,270,300,1.13507531199828,0.037835843733276,0.0735883970070983,0,0,2319.11897688723,2043.14106066183,1,2.53333333333333,6,7.76666666666667,6,19.7,0.0692832372050018,0,0,4,2.36666666666667,3,0,0,14.9666666666667,8,11.8333333333333,7,3.2,5
1,24,0,30,0,0,0.00537630501753054,29.1,1,0,NA,0,30,0,0,0,0,0.00114309803184312,0,0,0,0,3,30,1,0,0,0,0,0,0
2,24,30,60,0,0,0.00294727416670884,30,0,0,NA,0,30,0,0,0,0,0.00275517831086913,0,0,0,0,3,30,1,0,0,0,0,0,0
3,24,60,90,0,0,0.00312868481095076,30,0,0,NA,0,30,0,0,0,0,0.00272407065127826,0,0,0,0,3,30,1,0,0,0,0,0,0
4,24,90,120,0,0,0.00208060828133574,30,0,0,NA,0,30,0,0,0,0,0.00292829588619987,0,0,0,0,3,30,1,0,0,0,0,0,0
5,24,120,150,1.65934593956342,0.0553115313187806,0.161648000870847,0,0,6524.68495817646,3932.08239620795,0,29.1333333333333,0,0,0,0,0.00488600135873334,7,4.46666666666667,13,7.7,3,2.03333333333333,1,10.2666666666667,8,17.7,10,0,0
6,24,150,180,1.76388802429328,0.0587962674764428,0.204879841972258,0,0,5171.37130869709,2931.80249396446,0,28.6666666666667,0,0,0,0,0.00385216681127461,11,6.36666666666667,9,5.93333333333333,3,0,0,14.6666666666667,11,15.3333333333333,10,0,0
7,24,180,210,1.74601307619593,0.0582004358731978,0.160224263594617,0,0,3076.7850982447,1762.17758056437,0,29.5333333333333,0,0,0,0,0.0056451300214546,5,3.13333333333333,1,0.5,3,2.16666666666667,1,19.8,8,8.03333333333333,7,0,0
8,24,210,240,2.05716306606187,0.0685721022020623,0.223190620972978,0,0,3455.09438672044,1679.54327185871,0,29.9333333333333,0,0,0,0,0.00531988527047803,11,7.33333333333333,1,0.533333333333333,3,0,0,19.1,10,10.5666666666667,11,0.333333333333333,1
9,24,240,270,1.96270728539939,0.0654235761799797,0.175447698975342,0,0,2729.09461060163,1390.47459134809,0,30,0,0,0,0,0.0057920850083583,7,6.96666666666667,1,0.5,3,0,0,27.7666666666667,2,2.23333333333333,2,0,0
10,24,270,300,1.412839899114,0.0470946633038001,0.109387147368013,0,0,1381.10872179122,977.540854174149,0,29.7333333333333,0,0,0,0,0.00652071293192698,5,2.76666666666667,0,0,3,0,0,29.4666666666667,2,0.533333333333333,1,0,0
1,25,0,30,0,0,0.00890462975749558,27.8333333333333,1,0,NA,0,30,0,0,0,0,0.00258689016318261,0,0,0,0,3,29.4,2,0.6,1,0,0,0,0
2,25,30,60,0.140089202208238,0.00466964007360794,0.0318546550827097,0,0,48.3846817386515,345.384804652747,0,10.5,1,4.43333333333333,1,14.7,0.0546550484954146,0,0,0,0,3,3.26666666666667,2,26.7333333333333,2,0,0,0,0
3,25,60,90,0,0,0.0128930014132007,12.4,4,0,NA,0,0,1,5.9,1,24.1,0.0831356994644203,0,0,0,0,3,20.4666666666667,9,9.53333333333333,7,0,0,0,0
4,25,90,120,0.00210806690139489,7.0268896713163e-05,0.0119440181609166,14.1333333333333,4,0,0,0,0,0,0,0,30,0.0954802277123779,0,0,0,0,3,23.5333333333333,8,6.46666666666667,6,0,0,0,0
5,25,120,150,0.519005712938706,0.0173001904312902,0.0828947483126745,9.36666666666667,1,770.274404035312,1484.13473076024,1,14.5,1,0.866666666666667,0,12.5,0.046209542345192,1,0.5,1,0.566666666666667,3,9.23333333333333,2,18.4333333333333,4,0.166666666666667,0,2.16666666666667,2
6,25,150,180,0.070410759927281,0.00234702533090937,0.0636600260835613,23.9,2,184.270849515834,2617.08366315241,0,29.9666666666667,0,0,0,0,0.00253479680442969,0,0,0,0,3,21.8666666666667,3,7.23333333333333,3,0.9,1,0,0
7,25,180,210,0.477323642759295,0.0159107880919765,0.06671471890026,4.96666666666667,0,523.899823445054,1097.57777849954,0,29.2333333333333,0,0,0,0,0.00412073854986587,0,0,0,0,3,5.16666666666667,1,24.5333333333333,2,0,0,0.3,0
8,25,210,240,1.01010809454923,0.0336702698183076,0.0742330465286677,0,0,1185.40536696639,1173.54308253058,1,27.9666666666667,2,2.03333333333333,0,0,0.0144566799727896,2,1.1,1,1,3,0,0,28.4333333333333,3,1.56666666666667,2,0,0
9,25,240,270,1.21001336953145,0.0403337789843816,0.0670202424769683,0,0,1440.40720276447,1190.40602280472,2,19.5666666666667,2,5.26666666666667,1,5,0.030073949852404,0,0,0,0,3,0,0,25.9,8,1.63333333333333,3,2.46666666666667,3
